"Eastern Date Hour","Zone Name","DAM Forecast Load","GMT Start Hour"
"2019/01/01 15:00:00","MHK VL","760","20"
"2019/01/01 15:00:00","MILLWD","281","20"
"2019/01/01 15:00:00","N.Y.C.","5160","20"
"2019/01/01 15:00:00","NORTH","655","20"
"2019/01/01 15:00:00","WEST","1684","20"
"2019/01/01 16:00:00","CAPITL","1373","21"
"2019/01/01 16:00:00","CENTRL","1796","21"
"2019/01/01 16:00:00","DUNWOD","625","21"
"2019/01/01 16:00:00","GENESE","1111","21"
"2019/01/01 16:00:00","HUD VL","1065","21"
"2019/01/01 16:00:00","LONGIL","2243","21"
"2019/01/01 16:00:00","MHK VL","805","21"
"2019/01/01 16:00:00","MILLWD","300","21"
"2019/01/01 16:00:00","N.Y.C.","5286","21"
"2019/01/01 16:00:00","NORTH","671","21"
"2019/01/01 16:00:00","WEST","1745","21"
"2019/01/01 17:00:00","CAPITL","1473","22"
"2019/01/01 17:00:00","CENTRL","1923","22"
"2019/01/01 17:00:00","DUNWOD","687","22"
"2019/01/01 17:00:00","GENESE","1207","22"
"2019/01/01 17:00:00","HUD VL","1172","22"
"2019/01/01 17:00:00","LONGIL","2529","22"
"2019/01/01 17:00:00","MHK VL","866","22"
"2019/01/01 17:00:00","MILLWD","331","22"
"2019/01/01 17:00:00","N.Y.C.","5530","22"
"2019/01/01 17:00:00","NORTH","691","22"
"2019/01/01 17:00:00","WEST","1876","22"
"2019/01/01 18:00:00","CAPITL","1466","23"
"2019/01/01 18:00:00","CENTRL","1925","23"
"2019/01/01 18:00:00","DUNWOD","692","23"
"2019/01/01 18:00:00","GENESE","1193","23"
"2019/01/01 18:00:00","HUD VL","1178","23"
"2019/01/01 18:00:00","LONGIL","2558","23"
"2019/01/01 18:00:00","MHK VL","852","23"
"2019/01/01 18:00:00","MILLWD","342","23"
"2019/01/01 18:00:00","N.Y.C.","5548","23"
"2019/01/01 18:00:00","NORTH","691","23"
"2019/01/01 18:00:00","WEST","1892","23"
"2019/01/01 19:00:00","CAPITL","1440","0"
"2019/01/01 19:00:00","CENTRL","1894","0"
"2019/01/01 19:00:00","DUNWOD","686","0"
"2019/01/01 19:00:00","GENESE","1168","0"
"2019/01/01 19:00:00","HUD VL","1162","0"
"2019/01/01 19:00:00","LONGIL","2524","0"
"2019/01/01 19:00:00","MHK VL","837","0"
"2019/01/01 19:00:00","MILLWD","338","0"
"2019/01/01 19:00:00","N.Y.C.","5502","0"
