,Season,DayType,load_class,hour,load,sdh_total_load,p_total_load
102,November,Weekday,301,1,42.93,3802.774909090909,0.011289124659303814
103,November,Saturday,301,1,45.332499999999996,3371.3680000000004,0.013446322086464601
104,November,Sunday,301,1,44.5725,3229.642,0.013801065257387661
105,December,Weekday,301,1,50.90909090909091,3701.4058181818186,0.013753987919675923
106,December,Saturday,301,1,52.068000000000005,3410.9649999999997,0.01526488838202679
107,December,Sunday,301,1,50.5225,3255.9925000000003,0.015516774071193345
108,January,Weekday,302,1,52.802857142857135,4205.975476190477,0.012554247508519197
109,January,Saturday,302,1,55.827999999999996,3717.102,0.015019227344312854
110,January,Sunday,302,1,54.644000000000005,3461.8579999999993,0.01578458735164759
111,February,Weekday,302,1,52.755500000000005,4192.294,0.012583921833726358
112,February,Saturday,302,1,54.15,3781.853,0.014318377789935251
113,February,Sunday,302,1,53.7225,3536.9165000000003,0.015189077830929848
114,March,Weekday,302,1,47.33826086956522,4061.4103478260877,0.011655621278185672
115,March,Saturday,302,1,49.3075,3690.661,0.01336007289751077
116,March,Sunday,302,1,48.82,3425.4330000000004,0.0142522127859456
117,April,Weekday,302,1,42.65333333333333,4056.580095238096,0.010514604009274429
118,April,Saturday,302,1,44.178000000000004,3558.652,0.01241425123895228
119,April,Sunday,302,1,44.885000000000005,3349.986,0.013398563456683105
120,May,Weekday,302,1,41.462272727272726,4111.65,0.01008409585623113
121,May,Saturday,302,1,42.7075,3818.648,0.011183932114193296
122,May,Sunday,302,1,42.672000000000004,3416.2130000000006,0.012491024417973937
123,June,Weekday,302,1,45.714090909090906,4488.624181818182,0.010184432703067995
124,June,Saturday,302,1,45.5875,4026.102,0.011322986849314796
125,June,Sunday,302,1,46.410000000000004,3710.4145000000003,0.012508036501043212
126,July,Weekday,302,1,48.1142857142857,4526.849095238095,0.01062864802913318
127,July,Saturday,302,1,49.04,4120.606,0.011901162110621593
128,July,Sunday,302,1,49.071999999999996,3906.5400000000004,0.012561499434281996
129,August,Weekday,302,1,46.253913043478256,4426.559434782608,0.010449179260991854
130,August,Saturday,302,1,45.529999999999994,4213.6050000000005,0.010805474172353599
131,August,Sunday,302,1,45.212500000000006,3906.7625000000007,0.011572881637929104
132,September,Weekday,302,1,40.650909090909096,4163.980090909092,0.00976251283709526
133,September,Saturday,302,1,41.715,3955.9659999999994,0.010544832791788404
134,September,Sunday,302,1,41.682500000000005,3575.4619999999995,0.01165793399566266
135,October,Weekday,302,1,41.39190476190477,3935.3936666666673,0.010517856221729472
136,October,Saturday,302,1,43.589999999999996,3566.9369999999994,0.012220569076493363
137,October,Sunday,302,1,43.614,3290.7490000000003,0.013253517664215652
138,November,Weekday,302,1,42.93,3802.774909090909,0.011289124659303814
139,November,Saturday,302,1,45.332499999999996,3371.3680000000004,0.013446322086464601
140,November,Sunday,302,1,44.5725,3229.642,0.013801065257387661
141,December,Weekday,302,1,50.90909090909091,3701.4058181818186,0.013753987919675923
142,December,Saturday,302,1,52.068000000000005,3410.9649999999997,0.01526488838202679
143,December,Sunday,302,1,50.5225,3255.9925000000003,0.015516774071193345
144,January,Weekday,401,1,3.456666666666667,4205.975476190477,0.0008218466052012054
145,January,Saturday,401,1,3.6900000000000004,3717.102,0.0009927088360771376
146,January,Sunday,401,1,3.5459999999999994,3461.8579999999993,0.001024305445226234
147,February,Weekday,401,1,3.3209999999999993,4192.294,0.0007921677248780738
148,February,Saturday,401,1,3.3525,3781.853,0.0008864702038921133
149,February,Sunday,401,1,3.3075,3536.9165000000003,0.0009351365801256546
150,March,Weekday,401,1,2.4595652173913045,4061.4103478260877,0.0006055938717711231
151,March,Saturday,401,1,2.6450000000000005,3690.661,0.0007166737882455203
152,March,Sunday,401,1,2.5524999999999998,3425.4330000000004,0.0007451612686629689
153,April,Weekday,401,1,1.5904761904761904,4056.580095238096,0.00039207316338785104
154,April,Saturday,401,1,1.636,3558.652,0.0004597246373064857
155,April,Sunday,401,1,1.8425,3349.986,0.0005500022985170684
156,May,Weekday,401,1,1.405,4111.65,0.0003417119647829947
157,May,Saturday,401,1,1.4225,3818.648,0.00037251404161891855
158,May,Sunday,401,1,1.3519999999999999,3416.2130000000006,0.00039575986626126636
159,June,Weekday,401,1,1.3281818181818181,4488.624181818182,0.00029589953722608585
160,June,Saturday,401,1,1.4175,4026.102,0.00035207751815527776
161,June,Sunday,401,1,1.5099999999999998,3710.4145000000003,0.00040696261832741317
162,July,Weekday,401,1,1.7028571428571428,4526.849095238095,0.0003761683031688466
163,July,Saturday,401,1,1.864,4120.606,0.00045236064792411606
164,July,Sunday,401,1,1.8720000000000003,3906.5400000000004,0.0004791964244574483
165,August,Weekday,401,1,1.5539130434782606,4426.559434782608,0.00035104307676704096
166,August,Saturday,401,1,1.5,4213.6050000000005,0.00035598970477773777
167,August,Sunday,401,1,1.4725,3906.7625000000007,0.00037691054933592706
168,September,Weekday,401,1,1.0722727272727275,4163.980090909092,0.00025751149233728106
169,September,Saturday,401,1,1.175,3955.9659999999994,0.0002970197418279126
170,September,Sunday,401,1,1.195,3575.4619999999995,0.0003342225424294819
171,October,Weekday,401,1,1.793809523809524,3935.3936666666673,0.00045581450694585923
172,October,Saturday,401,1,2.034,3566.9369999999994,0.0005702371530531659
173,October,Sunday,401,1,2.046,3290.7490000000003,0.0006217429527441928
